iter	Passed	Remaining
0	0	112
1	1	107
2	1	92
3	1	83
4	2	78
5	2	74
6	2	72
7	2	70
8	3	69
9	3	67
10	3	66
11	4	65
12	4	64
13	4	63
14	5	62
15	5	61
16	5	61
17	6	61
18	6	60
19	6	60
20	7	59
21	7	59
22	7	59
23	8	58
24	8	58
25	8	57
26	8	57
27	9	57
28	9	57
29	10	57
30	10	57
31	10	56
32	11	56
33	11	56
34	11	55
35	12	55
36	12	55
37	12	55
38	13	54
39	13	54
40	13	54
41	14	53
42	14	53
43	14	52
44	15	52
45	15	52
46	15	51
47	16	51
48	16	50
49	16	50
50	17	50
51	17	49
52	17	49
53	18	49
54	18	48
55	18	48
56	19	47
57	19	47
58	19	47
59	20	46
60	20	46
61	20	46
62	21	45
63	21	45
64	21	45
65	22	44
66	22	44
67	22	44
68	23	43
69	23	43
70	23	43
71	24	42
72	24	42
73	24	42
74	24	41
75	25	41
76	25	40
77	25	40
78	26	40
79	26	40
80	27	39
81	27	39
82	27	39
83	28	38
84	28	38
85	28	38
86	29	37
87	29	37
88	29	36
89	29	36
90	30	36
91	30	35
92	30	35
93	31	35
94	31	34
95	31	34
96	32	34
97	32	33
98	32	33
99	33	33
100	33	32
101	33	32
102	34	32
103	34	31
104	34	31
105	35	31
106	35	30
107	35	30
108	36	30
109	36	29
110	36	29
111	37	29
112	37	28
113	37	28
114	38	28
115	38	27
116	38	27
117	39	27
118	39	26
119	39	26
120	40	26
121	40	25
122	40	25
123	41	25
124	41	25
125	42	24
126	42	24
127	42	24
128	43	23
129	43	23
130	43	22
131	43	22
132	44	22
133	44	21
134	44	21
135	45	21
136	45	20
137	45	20
138	46	20
139	46	19
140	46	19
141	47	19
142	47	19
143	48	18
144	48	18
145	48	18
146	49	17
147	49	17
148	49	17
149	50	16
150	50	16
151	50	16
152	51	15
153	51	15
154	51	15
155	51	14
156	52	14
157	52	13
158	52	13
159	53	13
160	53	12
161	53	12
162	54	12
163	54	11
164	54	11
165	55	11
166	55	10
167	55	10
168	56	10
169	56	10
170	57	9
171	57	9
172	57	9
173	58	8
174	58	8
175	58	8
176	59	7
177	60	7
178	60	7
179	60	6
180	61	6
181	61	6
182	61	5
183	62	5
184	62	5
185	62	4
186	63	4
187	63	4
188	63	3
189	64	3
190	64	3
191	64	2
192	65	2
193	65	2
194	65	1
195	66	1
196	66	1
197	67	0
198	67	0
199	67	0
