iter	Passed	Remaining
0	3	623
1	6	603
2	8	566
3	11	544
4	13	541
5	16	537
6	19	531
7	21	522
8	24	515
9	26	508
10	29	502
11	31	497
12	34	493
13	36	487
14	39	481
15	41	478
16	44	475
17	46	473
18	49	468
19	51	464
20	54	462
21	56	459
22	59	457
23	62	455
24	64	454
25	67	451
26	70	448
27	72	446
28	75	443
29	77	439
30	80	436
31	82	433
32	85	430
33	87	428
34	90	427
35	93	425
36	96	423
37	99	422
38	101	419
39	104	417
40	107	416
41	109	413
42	112	411
43	115	409
44	118	406
45	120	403
46	123	401
47	125	398
48	128	395
49	131	393
50	133	390
51	136	387
52	138	384
53	141	381
54	143	379
55	146	376
56	149	374
57	151	372
58	154	369
59	157	366
60	159	364
61	161	358
62	163	356
63	166	353
64	167	347
65	170	345
66	172	343
67	175	340
68	178	338
69	180	335
70	183	332
71	185	329
72	187	326
73	190	324
74	192	321
75	195	318
76	197	315
77	200	313
78	202	310
79	205	307
80	208	306
81	211	303
82	213	301
83	216	298
84	218	295
85	221	293
86	223	290
87	226	287
88	228	284
89	230	282
90	233	279
91	236	277
92	238	274
93	241	272
94	243	269
95	246	266
96	248	264
97	251	261
98	253	258
99	256	256
100	258	253
101	261	251
102	264	248
103	267	246
104	269	244
105	272	242
106	275	239
107	278	236
108	280	234
109	283	231
110	286	229
111	289	227
112	292	224
113	294	222
114	297	219
115	299	216
116	302	214
117	304	211
118	307	208
119	309	206
120	311	203
121	314	200
122	316	198
123	319	195
124	321	193
125	324	190
126	326	187
127	328	185
128	331	182
129	333	179
130	335	176
131	339	174
132	341	172
133	344	169
134	347	167
135	350	164
136	352	162
137	355	159
138	358	157
139	360	154
140	363	152
141	366	149
142	369	147
143	371	144
144	374	141
145	376	139
146	379	136
147	381	134
148	384	131
149	386	128
150	388	126
151	391	123
152	393	120
153	395	118
154	398	115
155	400	113
156	403	110
157	405	107
158	408	105
159	410	102
160	412	100
161	415	97
162	418	94
163	420	92
164	423	89
165	425	87
166	428	84
167	431	82
168	433	79
169	436	77
170	439	74
171	441	71
172	443	69
173	446	66
174	448	64
175	451	61
176	454	58
177	456	56
178	459	53
179	461	51
180	464	48
181	467	46
182	470	43
183	472	41
184	475	38
185	478	36
186	481	33
187	483	30
188	486	28
189	489	25
190	492	23
191	495	20
192	497	18
193	500	15
194	503	12
195	505	10
196	507	7
197	510	5
198	512	2
199	515	0
